state,year,population_crore,urban_pct,rural_pct,disease_index,hospitals_total,hospital_beds_per_1000,icu_beds,doctors_total,doctor_per_1000,nurses_total,phc_count,chc_count,vaccine_coverage_pct,cold_chain_facilities,vaccine_doses_required_cr,health_budget_crore,budget_per_capita_inr,infra_gap_score,maternal_mortality_ratio,infant_mortality_rate,life_expectancy
Madhya Pradesh,2022,8.78,28.5,71.5,0.50,2990,0.69,2100,23700,0.27,34500,1605,346,71.8,337,6.41,10000,1139,6.4,159,44,66.8
Madhya Pradesh,2023,8.87,29.0,71.0,0.48,3100,0.71,2180,24600,0.28,35800,1630,353,73.5,346,6.48,10900,1229,6.2,152,42,67.1
Madhya Pradesh,2024,8.96,29.4,70.6,0.47,3210,0.73,2270,25600,0.29,37200,1656,360,75.2,356,6.55,11900,1328,6.0,145,40,67.4
Madhya Pradesh,2025,9.05,29.9,70.1,0.46,3330,0.75,2360,26600,0.29,38600,1682,367,77.0,366,6.62,13000,1437,5.8,139,38,67.7
Madhya Pradesh,2026,9.14,30.4,69.6,0.44,3460,0.78,2460,27700,0.30,40100,1710,375,78.8,376,6.69,14200,1553,5.6,133,36,68.0
Madhya Pradesh,2027,9.23,30.8,69.2,0.43,3590,0.80,2560,28800,0.31,41700,1738,382,80.5,387,6.76,15500,1680,5.4,127,34,68.3
Maharashtra,2020,12.82,45.2,54.8,0.33,5500,1.55,4200,62000,0.48,95000,1814,388,82.5,620,9.36,22000,1716,3.5,46,19,72.5
Maharashtra,2021,12.94,45.6,54.4,0.32,5650,1.58,4350,64000,0.49,98000,1835,395,83.5,635,9.45,23800,1839,3.4,44,18,72.8
Maharashtra,2022,13.06,46.1,53.9,0.31,5810,1.61,4510,66000,0.51,101000,1858,402,84.5,650,9.54,25800,1975,3.3,42,17,73.1
Maharashtra,2023,13.18,46.5,53.5,0.30,5980,1.65,4680,68200,0.52,104200,1882,410,85.5,666,9.63,28000,2125,3.1,40,16,73.3
Maharashtra,2024,13.30,47.0,53.0,0.29,6160,1.68,4860,70500,0.53,107500,1906,418,86.5,682,9.72,30500,2293,3.0,38,15,73.6
Maharashtra,2025,13.42,47.5,52.5,0.28,6350,1.72,5050,72800,0.54,111000,1932,426,87.5,699,9.81,33200,2474,2.9,36,14,73.9
Maharashtra,2026,13.54,48.0,52.0,0.28,6550,1.76,5250,75200,0.56,114500,1958,435,88.5,716,9.91,36100,2666,2.8,34,14,74.2
Maharashtra,2027,13.66,48.5,51.5,0.27,6760,1.80,5460,77800,0.57,118200,1985,444,89.5,734,10.00,39200,2870,2.7,33,13,74.5
Manipur,2020,0.31,30.2,69.8,0.48,120,0.77,95,1580,0.51,2400,85,16,58.2,32,0.23,320,1032,6.0,158,14,70.5
Manipur,2021,0.31,30.5,69.5,0.47,124,0.79,98,1630,0.52,2480,87,16,60.0,33,0.23,350,1129,5.8,152,13,70.7
Manipur,2022,0.32,31.0,69.0,0.46,128,0.81,102,1680,0.53,2560,89,17,62.0,34,0.23,385,1203,5.7,146,13,70.9
Manipur,2023,0.32,31.5,68.5,0.45,132,0.83,106,1735,0.55,2650,91,17,64.0,35,0.23,420,1313,5.5,140,12,71.2
Manipur,2024,0.32,32.0,68.0,0.44,137,0.85,110,1790,0.56,2740,93,17,66.2,36,0.24,460,1438,5.3,135,12,71.4
Manipur,2025,0.33,32.5,67.5,0.43,142,0.87,115,1848,0.57,2840,95,18,68.5,37,0.24,505,1530,5.2,129,11,71.6
Manipur,2026,0.33,33.0,67.0,0.42,147,0.90,120,1908,0.58,2940,97,18,70.5,38,0.24,555,1682,5.0,124,11,71.8
Manipur,2027,0.33,33.5,66.5,0.41,153,0.92,125,1970,0.60,3050,99,19,72.8,39,0.24,610,1848,4.8,119,10,72.0
Meghalaya,2020,0.34,20.1,79.9,0.55,115,0.68,82,1420,0.42,2150,110,12,52.8,28,0.25,280,824,7.0,197,37,66.5
Meghalaya,2021,0.35,20.5,79.5,0.54,119,0.70,86,1470,0.42,2230,113,12,54.5,29,0.25,310,886,6.8,190,36,66.8
Meghalaya,2022,0.35,21.0,79.0,0.53,124,0.72,90,1525,0.43,2310,116,13,56.5,30,0.26,340,971,6.7,183,34,67.1
Meghalaya,2023,0.36,21.5,78.5,0.52,129,0.74,95,1580,0.44,2400,119,13,58.5,31,0.26,375,1042,6.5,176,33,67.4
Meghalaya,2024,0.36,22.0,78.0,0.50,134,0.76,100,1640,0.45,2490,122,14,60.8,32,0.27,412,1144,6.3,170,31,67.7
Meghalaya,2025,0.37,22.5,77.5,0.49,140,0.78,105,1700,0.46,2590,125,14,63.0,34,0.27,455,1230,6.1,163,30,68.0
Meghalaya,2026,0.37,23.0,77.0,0.48,146,0.81,110,1765,0.47,2690,128,14,65.2,35,0.28,500,1351,5.9,157,28,68.3
Meghalaya,2027,0.38,23.5,76.5,0.47,152,0.83,116,1832,0.49,2800,132,15,67.5,36,0.28,550,1447,5.8,151,27,68.6
Mizoram,2020,0.12,52.1,47.9,0.35,55,0.92,48,680,0.57,1050,66,9,72.5,18,0.09,180,1500,4.5,71,15,70.5
Mizoram,2021,0.12,52.5,47.5,0.34,57,0.94,50,705,0.58,1090,67,9,74.0,19,0.09,198,1650,4.4,68,14,70.8
Mizoram,2022,0.12,53.0,47.0,0.34,59,0.96,52,730,0.60,1130,68,9,75.5,19,0.09,218,1817,4.2,65,14,71.0
Mizoram,2023,0.12,53.5,46.5,0.33,61,0.99,54,756,0.61,1170,70,10,77.0,20,0.09,240,2000,4.1,62,13,71.3
Mizoram,2024,0.13,54.0,46.0,0.32,64,1.01,57,783,0.63,1210,71,10,78.5,20,0.10,264,2031,3.9,59,12,71.5
Mizoram,2025,0.13,54.5,45.5,0.31,67,1.04,60,812,0.64,1260,72,10,80.0,21,0.10,290,2231,3.8,56,12,71.8
Mizoram,2026,0.13,55.0,45.0,0.30,70,1.07,63,842,0.66,1310,73,10,81.5,21,0.10,320,2462,3.6,53,11,72.0
Mizoram,2027,0.13,55.5,44.5,0.30,73,1.10,66,873,0.68,1360,74,11,83.0,22,0.10,352,2708,3.5,50,10,72.3
Nagaland,2020,0.22,29.0,71.0,0.46,95,0.86,68,1180,0.54,1750,82,11,55.0,24,0.16,210,955,5.8,132,18,69.2
Nagaland,2021,0.22,29.5,70.5,0.45,98,0.88,71,1220,0.55,1810,84,11,57.0,25,0.16,230,1045,5.7,127,17,69.5
Nagaland,2022,0.22,30.0,70.0,0.44,101,0.90,74,1260,0.56,1880,86,12,59.0,26,0.16,255,1159,5.5,122,16,69.8
Nagaland,2023,0.23,30.5,69.5,0.43,105,0.93,77,1305,0.58,1950,88,12,61.2,27,0.17,280,1217,5.3,117,16,70.0
Nagaland,2024,0.23,31.0,69.0,0.42,109,0.95,81,1350,0.59,2020,90,12,63.5,28,0.17,308,1339,5.2,113,15,70.3
Nagaland,2025,0.23,31.5,68.5,0.41,113,0.98,85,1398,0.61,2100,92,13,65.8,29,0.17,340,1478,5.0,108,14,70.5
Nagaland,2026,0.23,32.0,68.0,0.40,117,1.01,89,1448,0.62,2180,94,13,68.0,30,0.17,375,1630,4.8,104,14,70.8
Nagaland,2027,0.24,32.5,67.5,0.39,122,1.04,93,1500,0.64,2260,96,13,70.2,31,0.18,412,1717,4.7,99,13,71.0
Odisha,2020,4.68,16.7,83.3,0.50,2100,0.90,1450,16000,0.34,24000,1288,192,70.5,240,3.42,6800,1453,5.8,150,40,67.5
Odisha,2021,4.72,17.0,83.0,0.49,2170,0.92,1510,16600,0.35,25000,1310,196,72.0,247,3.45,7400,1568,5.6,144,38,67.8
Odisha,2022,4.76,17.4,82.6,0.48,2245,0.95,1575,17200,0.36,26000,1332,200,73.8,254,3.48,8050,1691,5.5,138,37,68.1
Odisha,2023,4.80,17.8,82.2,0.47,2325,0.97,1640,17900,0.37,27100,1356,204,75.5,261,3.51,8750,1823,5.3,132,35,68.4
Odisha,2024,4.84,18.2,81.8,0.46,2408,1.00,1710,18600,0.38,28200,1380,209,77.2,269,3.54,9500,1963,5.1,126,33,68.7
Odisha,2025,4.88,18.6,81.4,0.44,2495,1.02,1785,19300,0.40,29400,1405,213,79.0,277,3.57,10350,2121,4.9,121,32,69.0
Odisha,2026,4.92,19.0,81.0,0.43,2585,1.05,1860,20100,0.41,30600,1430,218,80.8,285,3.60,11250,2287,4.8,115,30,69.3
Odisha,2027,4.96,19.4,80.6,0.42,2680,1.08,1940,20900,0.42,31900,1456,222,82.5,294,3.63,12200,2460,4.6,110,29,69.6
Punjab,2020,3.12,37.5,62.5,0.34,2200,1.42,1680,22000,0.71,34000,462,82,82.5,210,2.28,6500,2083,3.8,77,22,72.0
Punjab,2021,3.14,37.9,62.1,0.33,2260,1.45,1730,22700,0.72,35200,468,84,83.5,215,2.30,7050,2245,3.7,74,21,72.2
Punjab,2022,3.16,38.3,61.7,0.33,2325,1.48,1780,23400,0.74,36400,474,86,84.5,220,2.31,7650,2422,3.6,71,20,72.5
Punjab,2023,3.18,38.7,61.3,0.32,2390,1.51,1840,24100,0.76,37700,480,88,85.5,226,2.33,8300,2610,3.4,68,19,72.7
Punjab,2024,3.20,39.1,60.9,0.31,2460,1.54,1900,24800,0.78,39000,487,90,86.5,232,2.34,9000,2813,3.3,65,18,73.0
Punjab,2025,3.22,39.5,60.5,0.30,2530,1.57,1960,25600,0.79,40400,494,92,87.5,238,2.35,9750,3028,3.2,63,18,73.2
Punjab,2026,3.24,39.9,60.1,0.30,2610,1.61,2030,26400,0.81,41800,501,94,88.5,244,2.37,10550,3256,3.0,60,17,73.5
Punjab,2027,3.26,40.3,59.7,0.29,2690,1.64,2100,27200,0.83,43300,508,97,89.5,251,2.38,11400,3497,2.9,58,16,73.7
Rajasthan,2020,8.17,24.9,75.1,0.48,3100,0.76,2150,28000,0.34,42000,2080,365,72.0,385,5.96,10200,1248,5.8,164,41,67.5
Rajasthan,2021,8.26,25.3,74.7,0.47,3200,0.78,2230,29000,0.35,43500,2110,372,73.5,395,6.03,11100,1343,5.6,157,39,67.8
Rajasthan,2022,8.35,25.7,74.3,0.46,3310,0.80,2320,30000,0.36,45000,2142,379,75.0,405,6.10,12100,1449,5.5,150,38,68.0
Rajasthan,2023,8.44,26.1,73.9,0.45,3420,0.82,2410,31100,0.37,46600,2175,387,76.8,416,6.17,13200,1564,5.3,143,36,68.3
Rajasthan,2024,8.53,26.5,73.5,0.44,3540,0.84,2510,32200,0.38,48200,2208,395,78.5,427,6.24,14400,1689,5.1,137,34,68.6
Rajasthan,2025,8.62,26.9,73.1,0.43,3660,0.86,2610,33400,0.39,49900,2242,403,80.2,439,6.32,15700,1822,5.0,131,33,68.9
Rajasthan,2026,8.71,27.3,72.7,0.42,3790,0.88,2720,34600,0.40,51700,2278,412,82.0,451,6.39,17100,1963,4.8,125,31,69.2
Rajasthan,2027,8.80,27.7,72.3,0.41,3920,0.91,2830,35900,0.41,53500,2314,420,83.5,464,6.46,18600,2114,4.6,119,30,69.5
Sikkim,2020,0.07,25.2,74.8,0.32,38,1.09,32,520,0.74,820,24,4,82.0,12,0.05,120,1714,3.8,61,12,71.0
Sikkim,2021,0.07,25.5,74.5,0.31,39,1.11,33,535,0.76,850,24,4,83.0,12,0.05,132,1886,3.7,58,11,71.3
Sikkim,2022,0.07,26.0,74.0,0.31,40,1.14,34,550,0.78,880,25,4,84.0,13,0.05,145,2071,3.5,55,11,71.5
Sikkim,2023,0.07,26.5,73.5,0.30,42,1.17,36,568,0.81,912,25,4,85.0,13,0.05,160,2286,3.4,53,10,71.8
Sikkim,2024,0.07,27.0,73.0,0.29,44,1.20,38,586,0.84,945,26,5,86.0,14,0.05,176,2514,3.2,50,10,72.0
Sikkim,2025,0.07,27.5,72.5,0.29,46,1.23,40,605,0.86,980,26,5,87.0,14,0.05,194,2771,3.1,48,9,72.3
Sikkim,2026,0.07,28.0,72.0,0.28,48,1.26,42,625,0.89,1018,27,5,88.0,15,0.05,214,3057,3.0,45,9,72.5
Sikkim,2027,0.07,28.5,71.5,0.27,50,1.30,44,645,0.92,1058,27,5,89.0,15,0.05,235,3357,2.8,43,8,72.8
Tamil Nadu,2020,7.86,48.4,51.6,0.29,4200,1.85,3400,52000,0.66,82000,1836,385,88.5,520,5.74,16000,2036,2.8,60,15,72.5
Tamil Nadu,2021,7.92,48.8,51.2,0.28,4320,1.88,3510,53500,0.68,84500,1855,390,89.2,530,5.79,17200,2172,2.7,57,14,72.8
